[23/11/2020 08:11:39 PM] | GET:/app | Status: 200 | Request Duration: 0.0051 ms
[23/11/2020 08:11:43 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0056 ms
[23/11/2020 08:11:57 PM] | GET:/app | Status: 200 | Request Duration: 0.012 ms
[23/11/2020 08:11:60 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0057 ms
[23/11/2020 08:11:05 PM] | GET:/app | Status: 200 | Request Duration: 0.0171 ms
[23/11/2020 08:11:10 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0086 ms
[23/11/2020 08:11:59 PM] | POST:/app/search | Status: 200 | Request Duration: 0.0085 ms
[23/11/2020 08:11:31 PM] | GET:/app | Status: 200 | Request Duration: 0.0164 ms
[23/11/2020 08:11:36 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0096 ms
[23/11/2020 08:11:89 PM] | POST:/app/search | Status: 200 | Request Duration: 0.0079 ms
[23/11/2020 08:11:11 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0094 ms
[23/11/2020 08:11:10 PM] | POST:/app/search | Status: 200 | Request Duration: 0.0156 ms
[23/11/2020 08:11:16 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0323 ms
[23/11/2020 08:11:09 PM] | GET:/app | Status: 200 | Request Duration: 0.005 ms
[23/11/2020 08:11:12 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0065 ms
[23/11/2020 08:11:30 PM] | GET:/app | Status: 200 | Request Duration: 0.0212 ms
[23/11/2020 08:11:35 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0092 ms
[23/11/2020 08:11:93 PM] | POST:/app/search | Status: 200 | Request Duration: 0.0093 ms
[23/11/2020 08:11:99 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0072 ms
[23/11/2020 08:11:03 PM] | GET:/app | Status: 200 | Request Duration: 0.0174 ms
[23/11/2020 08:11:08 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0091 ms
[23/11/2020 08:11:45 PM] | POST:/app/search | Status: 200 | Request Duration: 0.0122 ms
[23/11/2020 08:11:52 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0073 ms
[23/11/2020 08:11:71 PM] | GET:/app | Status: 200 | Request Duration: 0.0153 ms
[23/11/2020 08:11:76 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0063 ms
[23/11/2020 08:11:35 PM] | POST:/app/search | Status: 200 | Request Duration: 0.0134 ms
[23/11/2020 08:11:42 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0069 ms
[23/11/2020 08:11:52 PM] | GET:/app | Status: 200 | Request Duration: 0.0176 ms
[23/11/2020 08:11:58 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0062 ms
[23/11/2020 08:11:89 PM] | POST:/app/search | Status: 200 | Request Duration: 0.011 ms
[23/11/2020 08:11:95 PM] | GET:/style.css | Status: 200 | Request Duration: 0.01 ms
[23/11/2020 08:11:93 PM] | GET:/app | Status: 200 | Request Duration: 0.0154 ms
[23/11/2020 08:11:99 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0058 ms
[23/11/2020 08:11:78 PM] | GET:/app | Status: 200 | Request Duration: 0.0063 ms
[23/11/2020 08:11:81 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0069 ms
[23/11/2020 08:11:77 PM] | GET:/app/search?searchInput=Nigeria | Status: 200 | Request Duration: 0.0148 ms
[23/11/2020 08:11:81 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0211 ms
[23/11/2020 08:11:29 PM] | GET:/app/search?searchInput=Nigeria | Status: 200 | Request Duration: 0.0051 ms
[23/11/2020 08:11:32 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0076 ms
[23/11/2020 09:11:44 PM] | GET:/app/search?searchInput=Nigeria | Status: 200 | Request Duration: 0.0161 ms
[23/11/2020 09:11:56 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0147 ms
[23/11/2020 09:11:56 PM] | GET:/app | Status: 200 | Request Duration: 0.0073 ms
[23/11/2020 09:11:59 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0093 ms
[23/11/2020 09:11:49 PM] | GET:/app/search?country=Nigeria | Status: 200 | Request Duration: 0.0126 ms
[23/11/2020 09:11:52 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0223 ms
[23/11/2020 09:11:89 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0061 ms
[23/11/2020 09:11:93 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0056 ms
[23/11/2020 09:11:67 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0183 ms
[23/11/2020 09:11:77 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0094 ms
[23/11/2020 09:11:21 PM] | GET:/app | Status: 200 | Request Duration: 0.0159 ms
[23/11/2020 09:11:25 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0068 ms
[23/11/2020 09:11:59 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0195 ms
[23/11/2020 09:11:63 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0367 ms
[23/11/2020 09:11:06 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0175 ms
[23/11/2020 09:11:15 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0109 ms
[23/11/2020 09:11:37 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0156 ms
[23/11/2020 09:11:47 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0074 ms
[23/11/2020 09:11:70 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0111 ms
[23/11/2020 09:11:74 PM] | GET:/style.css | Status: 200 | Request Duration: 0.009 ms
[23/11/2020 10:11:57 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0154 ms
[23/11/2020 10:11:66 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0067 ms
[23/11/2020 10:11:06 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0159 ms
[23/11/2020 10:11:17 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0069 ms
[23/11/2020 10:11:20 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0154 ms
[23/11/2020 10:11:30 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0211 ms
[23/11/2020 10:11:01 PM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0094 ms
[23/11/2020 10:11:06 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0086 ms
[23/11/2020 10:11:83 PM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0157 ms
[23/11/2020 10:11:96 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0078 ms
[23/11/2020 10:11:37 PM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0157 ms
[23/11/2020 10:11:46 PM] | GET:/style.css | Status: 200 | Request Duration: 0.006 ms
[23/11/2020 11:11:63 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0148 ms
[23/11/2020 11:11:72 PM] | GET:/style.css | Status: 200 | Request Duration: 0.012 ms
[23/11/2020 11:11:30 PM] | GET:/app | Status: 200 | Request Duration: 0.0146 ms
[23/11/2020 11:11:34 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0119 ms
[23/11/2020 11:11:28 PM] | GET:/app/search?country=South | Status: 200 | Request Duration: 0.0082 ms
[23/11/2020 11:11:70 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0192 ms
[23/11/2020 11:11:52 PM] | GET:/app | Status: 200 | Request Duration: 0.0085 ms
[23/11/2020 11:11:54 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0066 ms
[23/11/2020 11:11:57 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0108 ms
[23/11/2020 11:11:05 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0171 ms
[23/11/2020 11:11:22 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.016 ms
[23/11/2020 11:11:79 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0101 ms
[23/11/2020 11:11:95 PM] | GET:/app/search?country=Nigeria | Status: 200 | Request Duration: 0.0144 ms
[23/11/2020 11:11:93 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0114 ms
[23/11/2020 11:11:68 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0184 ms
[23/11/2020 11:11:09 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0308 ms
[23/11/2020 11:11:48 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0074 ms
[23/11/2020 11:11:44 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0044 ms
[23/11/2020 11:11:06 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0046 ms
[23/11/2020 11:11:31 PM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0084 ms
[23/11/2020 11:11:14 PM] | GET:/style.css | Status: 200 | Request Duration: 0.0052 ms
[24/11/2020 12:11:86 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0148 ms
[24/11/2020 12:11:20 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0085 ms
